passenger_id,survived,pclass,gender,age,sibsp,parch,fare
1,1,1,0,29,0,0,211.3375
2,1,1,1,1,1,2,151.55
3,0,1,0,2,1,2,151.55
4,0,1,1,30,1,2,151.55
5,0,1,0,25,1,2,151.55
6,1,1,1,48,0,0,26.55
7,1,1,0,63,1,0,77.9583
8,0,1,1,39,0,0,0
9,1,1,0,53,2,0,51.4792
10,0,1,1,71,0,0,49.5042
11,0,1,1,47,1,0,227.525
12,1,1,0,18,1,0,227.525
13,1,1,0,24,0,0,69.3
14,1,1,0,26,0,0,78.85
15,1,1,1,80,0,0,30
16,0,1,1,24,0,1,247.5208
17,1,1,0,50,0,1,247.5208
18,1,1,0,32,0,0,76.2917
19,0,1,1,36,0,0,75.2417
20,1,1,1,37,1,1,52.5542
21,1,1,0,47,1,1,52.5542
22,1,1,1,26,0,0,30
23,1,1,0,42,0,0,227.525
24,1,1,0,29,0,0,221.7792
25,0,1,1,25,0,0,26
26,1,1,1,25,1,0,91.0792
27,1,1,0,19,1,0,91.0792
28,1,1,0,35,0,0,135.6333
29,1,1,1,28,0,0,26.55
30,0,1,1,45,0,0,35.5
31,1,1,1,40,0,0,31
32,1,1,0,30,0,0,164.8667
33,1,1,0,58,0,0,26.55
34,0,1,1,42,0,0,26.55
35,1,1,0,45,0,0,262.375
36,1,1,0,22,0,1,55
37,0,1,1,41,0,0,30.5
38,0,1,1,48,0,0,50.4958
39,1,1,0,44,0,0,27.7208
40,1,1,0,59,2,0,51.4792
41,1,1,0,60,0,0,76.2917
42,1,1,0,41,0,0,134.5
43,0,1,1,45,0,0,26.55
44,1,1,1,42,0,0,26.2875
45,1,1,0,53,0,0,27.4458
46,1,1,1,36,0,1,512.3292
47,1,1,0,58,0,1,512.3292
48,0,1,1,33,0,0,5
49,0,1,1,28,0,0,47.1
50,0,1,1,17,0,0,47.1
51,1,1,1,11,1,2,120
52,1,1,0,14,1,2,120
53,1,1,1,36,1,2,120
54,1,1,0,36,1,2,120
55,0,1,1,49,0,0,26
